Day,Slot(s),Class Name,Group Name,Block Name,Room Number,Course Details
Monday,3 & 4,24BDS-1,A,D3,301,FS-1 24CSP-370
Monday,7 & 8,24AIT_NTPP-1,B,D3,305,FS-1 24CSP-370
Tuesday,6 & 7,24AIT_NTPP-1,A,D3,205,FS-1 24CSP-370
Wednesday,3 & 4,24AIT_NTPP-1,B,D3,307,FS-1 24CSP-370
Wednesday,6 & 7,24BDS-1,A,D3,301,FS-1 24CSP-370
Thursday,6 & 7,24BCY-3,B,D3,503,FS-1 24CSP-370
Friday,1 & 2,24BCY-3,B,D3,507,FS-1 24CSP-370
Friday,7 & 8,24AIT_NTPP-1,A,D3,205,FS-1 24CSP-370
